"","country","n"
"1","Afghanistan",30
"2","Albania",42
"3","Algeria",33
"4","Angola",22
"5","Argentina",75
"6","Armenia",82
"7","Austria",12
"8","Azerbaijan",117
"9","Bahrain",26
"10","Bangladesh",237
"11","Belarus",67
"12","Belgium",24
"13","Benin",27
"14","Bhutan",1
"15","Bolivia",80
"16","Bosnia",12
"17","Botswana",31
"18","Brazil",72
"19","Bulgaria",102
"20","Burkina Faso",40
"21","Burundi",93
"22","Cambodia",42
"23","Cameroon",20
"24","Canada",36
"25","Cape Verde",2
"26","Central African Republic",57
"27","Chad",16
"28","Chile",76
"29","China",215
"30","Colombia",42
"31","Comoros",52
"32","Congo Brazzaville",26
"33","Congo Kinshasa",40
"34","Costa Rica",20
"35","Croatia",14
"36","Cuba",96
"37","Cyprus",101
"38","Czech Republic",12
"39","Denmark",8
"40","Djibouti",8
"41","Dominican Republic",61
"42","Ecuador",55
"43","Egypt",94
"44","El Salvador",49
"45","Equatorial Guinea",4
"46","Eritrea",3
"47","Estonia",40
"48","Ethiopia",26
"49","Finland",9
"50","France",311
"51","Gabon",28
"52","Gambia",8
"53","Georgia",50
"54","Germany",285
"55","Germany East",3
"56","Germany West",2
"57","Ghana",45
"58","Greece",257
"59","Guatemala",82
"60","Guinea",66
"61","Guinea-Bissau",25
"62","Guyana",31
"63","Haiti",94
"64","Honduras",53
"65","Hungary",53
"66","India",130
"67","Indonesia",96
"68","Iran",99
"69","Iraq",59
"70","Ireland",360
"71","Italy",115
"72","Ivory Coast",91
"73","Jamaica",22
"74","Japan",50
"75","Jordan",30
"76","Kazakhstan",71
"77","Kenya",283
"78","Kosovo",12
"79","Kuwait",11
"80","Kyrgyzstan",97
"81","Laos",2
"82","Latvia",82
"83","Lebanon",24
"84","Lesotho",31
"85","Liberia",57
"86","Libya",17
"87","Lithuania",31
"88","Luxembourg",3
"89","Macedonia",69
"90","Madagascar",57
"91","Malawi",44
"92","Malaysia",126
"93","Mali",35
"94","Mauritania",2
"95","Mauritius",12
"96","Mexico",124
"97","Moldova",99
"98","Mongolia",44
"99","Montenegro",9
"100","Morocco",21
"101","Mozambique",57
"102","Myanmar",56
"103","Namibia",175
"104","Nepal",155
"105","Netherlands",11
"106","Nicaragua",57
"107","Niger",102
"108","Nigeria",90
"109","North Korea",7
"110","Norway",4
"111","Oman",20
"112","Pakistan",130
"113","Panama",40
"114","Papua New Guinea",36
"115","Paraguay",26
"116","Peru",69
"117","Philippines",49
"118","Poland",72
"119","Portugal",14
"120","Qatar",1
"121","Romania",127
"122","Russia",142
"123","Rwanda",9
"124","Saudi Arabia",15
"125","Senegal",37
"126","Serbia",4
"127","Sierra Leone",16
"128","Singapore",14
"129","Slovak Republic",25
"130","Slovenia",19
"131","Somalia",18
"132","South Africa",119
"133","South Korea",265
"134","South Sudan",1
"135","Spain",103
"136","Sri Lanka",58
"137","Sudan",21
"138","Suriname",20
"139","Swaziland",76
"140","Sweden",8
"141","Switzerland",4
"142","Syria",8
"143","Taiwan",132
"144","Tajikistan",21
"145","Tanzania",33
"146","Thailand",195
"147","Timor Leste",9
"148","Togo",12
"149","Tunisia",24
"150","Turkey",83
"151","Turkmenistan",4
"152","Uganda",48
"153","Ukraine",133
"154","United Kingdom",429
"155","Uruguay",20
"156","Uzbekistan",31
"157","Venezuela",142
"158","Vietnam",11
"159","Yemen",99
"160","Yugoslavia",55
"161","Zambia",88
"162","Zimbabwe",80
