"","year","stateresponse1","n","prop","order"
"1",1990,"Accomodation",28,0.0758807588075881,0
"2",1990,"Arrests",22,0.0596205962059621,3
"3",1990,"Beatings",24,0.0650406504065041,4
"4",1990,"Crowd Dispersal",90,0.24390243902439,2
"5",1990,"Ignore",176,0.476964769647696,1
"6",1990,"Killings",15,0.040650406504065,6
"7",1990,"Shootings",13,0.035230352303523,5
"8",1991,"Accomodation",9,0.036734693877551,0
"9",1991,"Arrests",17,0.0693877551020408,3
"10",1991,"Beatings",12,0.0489795918367347,4
"11",1991,"Crowd Dispersal",58,0.236734693877551,2
"12",1991,"Ignore",127,0.518367346938776,1
"13",1991,"Killings",8,0.0326530612244898,6
"14",1991,"Shootings",13,0.0530612244897959,5
"15",1992,"Accomodation",13,0.0457746478873239,0
"16",1992,"Arrests",20,0.0704225352112676,3
"17",1992,"Beatings",12,0.0422535211267606,4
"18",1992,"Crowd Dispersal",62,0.21830985915493,2
"19",1992,"Ignore",152,0.535211267605634,1
"20",1992,"Killings",14,0.0492957746478873,6
"21",1992,"Shootings",11,0.0387323943661972,5
"22",1993,"Accomodation",9,0.0376569037656904,0
"23",1993,"Arrests",14,0.0585774058577406,3
"24",1993,"Beatings",6,0.0251046025104603,4
"25",1993,"Crowd Dispersal",58,0.242677824267782,2
"26",1993,"Ignore",136,0.569037656903766,1
"27",1993,"Killings",6,0.0251046025104603,6
"28",1993,"Shootings",9,0.0376569037656904,5
"29",1994,"Accomodation",28,0.1,0
"30",1994,"Arrests",27,0.0964285714285714,3
"31",1994,"Beatings",6,0.0214285714285714,4
"32",1994,"Crowd Dispersal",60,0.214285714285714,2
"33",1994,"Ignore",139,0.496428571428571,1
"34",1994,"Killings",3,0.0107142857142857,6
"35",1994,"Shootings",16,0.0571428571428571,5
"36",1995,"Accomodation",16,0.0569395017793594,0
"37",1995,"Arrests",19,0.0676156583629893,3
"38",1995,"Beatings",7,0.0249110320284698,4
"39",1995,"Crowd Dispersal",80,0.284697508896797,2
"40",1995,"Ignore",145,0.516014234875445,1
"41",1995,"Killings",4,0.0142348754448399,6
"42",1995,"Shootings",8,0.0284697508896797,5
"43",1996,"Accomodation",13,0.043046357615894,0
"44",1996,"Arrests",24,0.0794701986754967,3
"45",1996,"Beatings",9,0.0298013245033113,4
"46",1996,"Crowd Dispersal",73,0.241721854304636,2
"47",1996,"Ignore",169,0.559602649006622,1
"48",1996,"Killings",6,0.0198675496688742,6
"49",1996,"Shootings",8,0.0264900662251656,5
"50",1997,"Accomodation",17,0.0487106017191977,0
"51",1997,"Arrests",20,0.0573065902578797,3
"52",1997,"Beatings",17,0.0487106017191977,4
"53",1997,"Crowd Dispersal",92,0.263610315186246,2
"54",1997,"Ignore",195,0.558739255014327,1
"55",1997,"Killings",1,0.00286532951289398,6
"56",1997,"Shootings",7,0.0200573065902579,5
"57",1998,"Accomodation",18,0.0616438356164384,0
"58",1998,"Arrests",27,0.0924657534246575,3
"59",1998,"Beatings",6,0.0205479452054795,4
"60",1998,"Crowd Dispersal",94,0.321917808219178,2
"61",1998,"Ignore",137,0.469178082191781,1
"62",1998,"Killings",6,0.0205479452054795,6
"63",1998,"Shootings",4,0.0136986301369863,5
"64",1999,"Accomodation",20,0.0677966101694915,0
"65",1999,"Arrests",31,0.105084745762712,3
"66",1999,"Beatings",8,0.0271186440677966,4
"67",1999,"Crowd Dispersal",76,0.257627118644068,2
"68",1999,"Ignore",145,0.491525423728814,1
"69",1999,"Killings",7,0.023728813559322,6
"70",1999,"Shootings",7,0.023728813559322,5
"71",2000,"Accomodation",16,0.046242774566474,0
"72",2000,"Arrests",31,0.0895953757225433,3
"73",2000,"Beatings",11,0.0317919075144509,4
"74",2000,"Crowd Dispersal",84,0.242774566473988,2
"75",2000,"Ignore",197,0.569364161849711,1
"76",2000,"Killings",2,0.00578034682080925,6
"77",2000,"Shootings",4,0.0115606936416185,5
"78",2001,"Accomodation",18,0.0627177700348432,0
"79",2001,"Arrests",28,0.0975609756097561,3
"80",2001,"Beatings",5,0.0174216027874564,4
"81",2001,"Crowd Dispersal",72,0.250871080139373,2
"82",2001,"Ignore",152,0.529616724738676,1
"83",2001,"Killings",4,0.0139372822299652,6
"84",2001,"Shootings",7,0.024390243902439,5
"85",2002,"Accomodation",14,0.0463576158940397,0
"86",2002,"Arrests",31,0.102649006622517,3
"87",2002,"Beatings",6,0.0198675496688742,4
"88",2002,"Crowd Dispersal",50,0.165562913907285,2
"89",2002,"Ignore",189,0.625827814569536,1
"90",2002,"Killings",4,0.0132450331125828,6
